Cch-CAL_001-5H-lcwgs-1-2.r1.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CAL_001-5H-lcwgs-1-2.r2.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CAL_003-3G-lcwgs-1-2.r1.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CAL_003-3G-lcwgs-1-2.r2.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CAL_004-7E-lcwgs-1-2.r1.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CAL_004-7E-lcwgs-1-2.r2.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CAL_019-2A-lcwgs-1-2.r1.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CAL_019-2A-lcwgs-1-2.r2.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CAS_001-10B-lcwgs-1-2.r1.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CAS_001-10B-lcwgs-1-2.r2.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CAS_002-7D-lcwgs-1-2.r1.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CAS_002-7D-lcwgs-1-2.r2.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CAS_008-6E-lcwgs-1-2.r1.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CAS_008-6E-lcwgs-1-2.r2.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CAS_013-11A-lcwgs-1-2.r1.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CAS_013-11A-lcwgs-1-2.r2.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CAS_042-4A-lcwgs-1-2.r1.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CAS_042-4A-lcwgs-1-2.r2.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CBL_002-4C-lcwgs-1-2.r1.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CBL_002-4C-lcwgs-1-2.r2.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CBL_003-1H-lcwgs-1-2.r1.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CBL_003-1H-lcwgs-1-2.r2.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CBL_004-5H-lcwgs-1-2.r1.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CBL_004-5H-lcwgs-1-2.r2.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CBL_009-9A-lcwgs-1-2.r1.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CBL_009-9A-lcwgs-1-2.r2.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CBL_022-6A-lcwgs-1-2.r1.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CBL_022-6A-lcwgs-1-2.r2.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CBL_023-10A-lcwgs-1-2.r1.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CBL_023-10A-lcwgs-1-2.r2.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CBS_002-11F-lcwgs-1-2.r1.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CBS_002-11F-lcwgs-1-2.r2.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CBS_003-6G-lcwgs-1-2.r1.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CBS_003-6G-lcwgs-1-2.r2.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CBS_023-3A-lcwgs-1-2.r1.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CBS_023-3A-lcwgs-1-2.r2.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
Cch-CCS_001-6D-lcwgs-1-2.r1.fq.gz: gzip compressed data, from Unix, original size modulo 2^32 0
